,Sentence,Label
910,Sabah bildirimleri görünce şoka uğradım ne oldu neyi kaçırdım dedim böyle bir sürpriz beklemiyordum ,surpriz
911,Sizin gibilerin var olduguna inanamıyorum,surpriz
912,Admin Bey size acayip sövüyorlar. Bilmediğim küfürler öğrendim.,kızgın
913,"Sabahtan beri Lacasa de Papel izliyorum, mutluyum",mutlu
914,Selim İleriye samimi mektubu ve nezaketi için teşekkür ederim ,mutlu
915,Bir ara çok sinirleniyorum sonra geçiyor sinirim,kızgın
916,Benle birlikte kanseri göze alan insanları tebrik ediyor iyi geceler diliyorum Azmin zaferi,mutlu
917,Yok artık inanmam..Yüzyılın açıklaması tebrikler,surpriz
918,Çok fena fırtına geliyor kaçışın çabuk. Fotoda tam çıkmadı kabus gibi. ,korku
919,"Kasıtlı yapılan bir şey özürle düzeltilemez, defol ülkemden",kızgın
920,"ALESi, formasyon sınavı, alan sınavı galiba ben tükendim siz devam edin",üzgün
921,Ben hala Leon-Spiro sahnesinin etkisinden çıkamıyorum. İçimi bir hüzün kapladı abv sahne hüzünlü değildi neden böyle oldu?,üzgün
922,Vücut yağ oranım 11 ben fazla çıkar sandım ama düşük çıktı ay çok mutlu oldum,mutlu
923,Bir tek zeki insanlardan korkuyorum vallahi,korku
924,Ya çok sevimli bir doğum günü mesajı çok teşekkürler,mutlu
925,Ofiste bedava bira var ve içmiyorum. hayret. şaştım kaldım.,surpriz
926,Çok mutluyum ya hayatımda ilk defa hukuktan 80 almışım,mutlu
927,Bunu ben keşfetmiştim haha çok eğlendim şu an ,mutlu
928,yüreğime korku salındı Allah'ım sen koru ,korku
929,Ya sen değil ondan mesaj bekliyorum ben ay çıldıracağım,kızgın
930,Piyangonun sana çıkmadığına çok şaşırdım hâlbuki bütün numaralar sendeydi.,surpriz
931,Odamda tek başımaydım bir anda elektrikler gitti ödüm koptu,korku
932,Ben kendimle savaşırken senin kazanman bana da sürpriz oldu.,surpriz
933,"Terörden beslenen, övünen ve geçinen, destek veren, destek alan, yanında duran göz yuman kim varsa Allah belasını versin ",kızgın
934,"Ben aylar sonra , ilk defa çocuklar gibi eğlendim..",mutlu
935,matematikden 40 aldım aşırı mutluyum emeğime sağlık,mutlu
936,İki üniversite okumaya kalkan aklıma tüküreyim tükendim,üzgün
937,Yok arkadaş uyandıramıyorum delireceğim,kızgın
938,Okula gitmek istemiyorum diye avazım çıktığı kadar bağıracağım,kızgın
939,Kimse anlayamadı ya sinir oldum sağolsun bağıranlar yüzünden ,kızgın
940,Şimdi de nargile için zorunlu yayın yapıyorlar güldüm,mutlu
941,Ben okurken çok güldüm siz de gülümseyin diye duvara bıraktım,mutlu
942,Benim paylaştığım duruma bakın sizin isteğinize bakın. Şaşırtıcı,surpriz
943,Oha gerçekten dünyayı gezmeden önce kendi ülkemi mi gezeyim? Ciddi olamazsın ya bu orijinal fikrin hemen patentini al.,surpriz
944,Çok korkunçtu ya germek gibiydi 3'dür bu rüyayı görüyorum hayrolur inşallah,korku
945,Moralim bozuk diye telefon aldım yine moralim düzelmedi. Uçurumdan atın beni ya,üzgün
946,okula gidip gelene kadar sıcaktan eriyecem diye endişelendim resmen bu ne ya ,korku
947,"ailecek olunca eğlence, bol kahkaha eksik olmuyor ",mutlu
948,Ders çalışsam mutsuzum çalışmayınca vicdan azabı çekiyorum yine mutsuzum,üzgün
949,"Aaa şu şey değilmi ya , sevmiyorum diyipte pişman olan ??",surpriz
950,Konserde sahneye dolma baklava filan atarlar diye korkuyorum,korku
951,Ahlaksız pislik herif ceheneme git defol iğreniyorum senden,kızgın
952,Kardeşim kumandayı saklamış daha sonra çarşıya gitmişler 3 saattir çizgi filme bakıyoruz kafayı yiyeceğim,kızgın
953,Nefret ediyorum pazar günü çalışmaktan .,kızgın
954,"Her akşam aynı hüzün, yol gözler iki gözüm...  ",üzgün
955,Şu an çok mutsuzum konser bileti geldi ama getirmeyi unutmuşlar ve cipsimide almamışlar ,üzgün
956,Konser inanılmaz güzeldi emeği geçen herkese teşekkürler,mutlu
957,Var ya sinirden köpürdüm şu an birini ciddi anlamda tokatlamam gerekiyor muhtemelen yarın okuldanda atılırım mis,kızgın
958,Kendimden taşınmak istiyorum artık çok yıprandım yeni sıfır bir ben lazım bana.,üzgün
959,"Of her şeye, herkese anlamsızca öfkeliyim",kızgın
960,Pek bir sürpriz oldu hocam beklemiyorduk bu quizi,surpriz
961,Hayatın espiri anlayışı şaşkınlık verici.,surpriz
962,"Ben 2 senedir fifa oynuyorum pes saçmalamıştı. Demosu çok iyiydi fifanın, tam sürümünde şoka uğradım. ",surpriz
963,İnsanın aciz olduğunu ara ara Rabbimin hatırlatması...ürkütücü bir manzara. ,korku
964,Tevfik bu sahneyi her izlediğimde ağlayacağım kesin,üzgün
965,Mutlu huzurlu neşeli sevgi ve aşk dolu bir akşam dileğiyle kendinize iyi bakın Sevgi dolu sevgiyle kalın,mutlu
966,gece robot olduğuma dair bi kabus gördüm o kadar korktum ki annemin yanına gittim onla uyudum,korku
967,Dondum kaldım okuyunca Ayakta alkışlıyorum,surpriz
968,Bugün sevinçli olmama sebep olduğun için sana da teşekkür ederim,mutlu
969,Karla karışık aşk yağıyor bugünlerde.. Ve ben seni dolu dolu seviyorum..,mutlu
970,Ya sen muhteşem bir detaysın be.. Sarı Komutan senden başkası olamazdı iyi ki sen iyi ki ??,mutlu
971,"Asıl kıza hayret ettim, bu teklife evet dedi ya Allah her ikisine de akıl fikir versin.",surpriz
972,Kızgınım. Sana değil kendime. Her defasında kendimden çok karşımdakine değer verdiğim için kendime kızgınım.,kızgın
973,Acılarım bu soğukta biz tutsa keşke .,üzgün
974,Kalbim dayanamayacak ağlıyorum… Telefonu bırakıyorum… Kötüyüm... ,üzgün
975,Sevgili doğan yavaş kardeşim beni aşırı kilolar değil de sansür şoke etti şoka uğradım resmen,surpriz
976,Hayatımın en zor zamanları askerlikti o bitkinlik yorgunluk anlatılamaz ,üzgün
977,Haftanın en güzel saati... Tüm şerefsiz haysiyetsizlere inat yaşasın Cuma 17.30,mutlu
978,Özür dilenince daha çok sinirleniyorum değiştirmiyor bir şeyi anlasanıza özür dilenecek şeyler yapmayın en basiti,kızgın
979,Ah keşke emin olabilsem senden ama manyağın teki gibi davranıp duruyorsun üzgünüm,üzgün
980,Uslu kız olayım derken sinir küpü oldum.,kızgın
981,Abi saçma sapan cezalar veriliyor,kızgın
982,Kendi halime hıçkırarak güldüm ve sonra gülmekten öldüm.,mutlu
983,İstanbul > Konya uçağında yanımdaki teyze nereye gidiyorsun diye sordu dondum kaldım,surpriz
984,Üzgünüm.. seni çizdim ama pişman değilim.,üzgün
985,Gök gürültüsü gibi ama değil bomba sesleri,korku
986,Sebepsiz yere arıyorum çalarken açarsa ne diyiyeceğim diye düşünüyorum açmayınca da sinirleniyorum,kızgın
987,Lütfen psikologlar burda takip etmesin beni çok korkuyorum ,korku
988,Canım arkadaşım Sondül’üm bana sürpriz yaptı İyiki tanıdım seni…,surpriz
989,yoruldum sıkıldım bunaldım. galiba kış sendromuna girdim,üzgün
990,6. Duyu organım olan kulaklıklarımı evde unuttum sandım ödüm koptu ödüm,korku
991,gideceğim her yere yürüyen merdivenle gitmek istiyorum üşengeç ve öfkeliyim,kızgın
992,Kötüyüm ama merak etmeyin bunu da halledemicem,üzgün
993,Herşeyin sınırı var Peşin hükümden gayrı korkarım ,korku
994,Bu size sinirli olmadığım anlamına gelmiyor sıraya girin dayak atacağım,kızgın
995,"Allah yapandan razı olsun, gözlerime inanamadım ",surpriz
996,Askerliğimi bir tür tecil ettiremedim kafayı yiyeceğim sonunda gidicem askere,kızgın
997,"Yaşasın cuma yaşasın pijamalarım, panduflarım ve kitaplarım ",mutlu
998,"Millet, burayı gezmek cidden çok güzeldi. Legolarla oynamak çok eğlenceli.",mutlu
999,Kilo alamamanın en sevdiğim yanı az önce bir kilo menemen gömdüm mutluyum sıfır stresim...,mutlu
1000,Ben şaşkına döndüm tüylerim diken diken oldu en iyi cover olmuş,surpriz
1001,Seda sayan da kırmızı gömlekli adamı görünce bir irkildim,korku
1002,Bugün dünyanın en iyi gitaristlerinden biri olan jimi hendrix'in doğum günü. kutlu olsun ,mutlu
1003,"Bu gün aşırı agresifim, sinirliyim, çıldırıyorum. Allahım 20 yaş sendromu mu bu help mee nolur nolur",kızgın
1004,"Yağmurun yağışını izlemek beni hipnotize ediyor, dinginlik veriyor. Harika hissediyorum",mutlu
1005,Bu hafta kabus gibi bir hafta. Bütün branşlarda yenilmişiz ,korku
1006,yine çok su içmişim karnımdan gluk gluk sesler çıkıyor haha çok eğlenceli,mutlu
1007,"Şu ruh haliyle okula koşturmayı, sınavlara girmeyi başarıyorum. Çünkü harikayım ",mutlu
1008,Temiz bir delireceğim fırsat kolluyorum az kaldı,kızgın
1009,Ne taraftan baktığına bağlı bu taraftaki pencereden gayet hoş,mutlu
1010,"O günden beri, evet seni sevdiğim, unutmak istediğim o günden beri çok mutsuzum..",üzgün
1011,Rüyamda 2 kere friendzone yedim korkutucuydu.,korku
1012,Bu kız niye sabahtan beri kendi kendine gülüyor diyorum meğer dudak yapısı mutluymuş ,mutlu
1013,Zeki insanlar daha çabuk sinirlenir diye okudum bir yerde ve ne oldu bilmiyorum bir anda küplere bindim.,kızgın
1014,27 gün oldu yetmez mi bu ceza diye bağıracağım suratına suratına o olcak,kızgın
1015,Cidden çok sıkıldım resmen rezillik yeter artık bıktım,üzgün
1016,Geçen yarışında fotoyu geçerken ki görüntüsü inanılmaz güzeldi. Bu at epey aşama kat etti,mutlu
1017,Sabah olsun işime gideyim ya sıkıldım bitmeyen pazardan,üzgün
1018,Gerçekten çok yazılıp çizildi ürktüm şahsen,korku
1019,"Gözleri keskin, gözleri keskin, gözleri keskin bir tren sesi kadar korkutucuydu..",korku
1020,Hocam insan hiçbir şey bilmese haddini bilmelidir bilmeyenler beni sinirlendiriyor ,kızgın
1021,Haberi açmaya korkuyorum acaba yine ne saçmaladınız,korku
1022,zaman ilerledikçe ürkütücü bir biçimde kadınlar birbirine benzemeye başladı,korku
1023,ay galiba tükendim pek emin değilim ama bence tükendim,üzgün
1024,Beyaz Showu izledim demet özdemirin kendini bilmişliği Çok sinir oldum ve takipten çıktım,kızgın
1025,Biletinin alınmasına sevindim pilot bu konuların bayern münihi :) asıl teşekkür ona,mutlu
1026,Sevgilimi çok seviyorum ya mükemmel bir duygu,mutlu
1027,Candy crush oynarken zamanı ileri aldığımda mı aramış acaba ya ödüm koptu ,korku
1028,Bugün bu hayat beni çok yordu ya yemin ederim yıprandım fanusta yaşıyorum,üzgün
1029,Geç kalmış doğum günü hediyemiz için teşekkür ederiz ,mutlu
1030,Lütfen arkadaşlar imkanı olan ulaşsın çok endişelendim ben de,korku
1031,Gözlerimi hate my life diye fısıldayarak açtım BİRAZ KORKUNÇTU,korku
1032,Güzel bir spordan sonra simitimi yedim harika hissediyorum :)))),mutlu
1033,Korkupta korku filmi izleyen bizdendir,korku
1034,Kulaklığımı yolda düşürmüşüm çok üzgünüm..,üzgün
1035,Annemi yanımda görenler aaa annen mi ne kadar genç diyorlar benim sultanım yaşlanmıyor,surpriz
1036,"Bu kitabı sevdim Atatürkten falanda bahsediyor, anlatımıda harika sevdim ",mutlu
1037,Vay be... Ben normal takla atamıyorum robot ters takla atıyor,surpriz
1038,"Ses kaydı dinlerken fark ettim sınıftaki bazı insanların nefes alabilmesi bile bir mucize, bu zekayla bu yaşa nasıl gelmiş insan hayret ediyor",surpriz
1039,Sürekli yer bildirimi yapan takipçim vardı 2 gündür gönderi yapmıyor endişelendim,korku
1040,Kreşte öğlen uykusuna yatırıyorlar diye ağladığım günler için pişmanım,üzgün
1041,2008 yılından sonrası bana da sürpriz oldu,surpriz
1042,Bu cesaretleriniz nereden geliyor hala şaşkınım,surpriz
1043,Biriniz yüzünden hepinize duvarlar ördüm. Üzgünüm.,üzgün
1044,russian roulette albümünü açınca oynamadan duramıyorum çok komik,mutlu
1045,Oha kime yazdın sen bunu oğlum şaştım kaldım enfes yazmışsın ,surpriz
1046,Hesabın çok güzel icon bio hepsini beğendim,mutlu
1047,Çamlıca Televizyon Radyo Kulesi inşaatında korkunç ölüm! 220 metre yükseklikten aşağıya düştü,korku
1048,Biz arızalıyız zannederken Ayarsızları gördükçe Hayretler içindeyiz ...,surpriz
1049,haha vallahi çok güldüm gece gece ya,mutlu
1050,Hayret bu sene 10 Kasım da kimse hasta olmadı,surpriz
1051,Ben kendimle savaşırken senin kazanman bana da biraz sürpriz oldu.,surpriz
1052,Şüphesiz ölüm korkunç bir şeydir.,korku
1053,Allah'ım ne güzel bir sürpriz bu saatte gelen bu böyle ,surpriz
1054,Birkaç patlama gibi bahsedilmiş endişelendim ben de.,korku
1055,Yine yandı yürekler yine ateş düştü ocaklara daha ne kadar ne zamana kadar ağlayacak bu analar ,üzgün
1056,Ya inanmıyorum ya zaman ne çabuk geçiyor bu kadar hızlı geçmek zorunda mı,surpriz
1057,Saçlarımı Madelaine gibi turuncu yapıcağım için fazla sevinçliyim ,mutlu
1058,"Korkuyorum, belki yarın geç olur? Geleceksen eğer bir gün önce gelsene... ",korku
1059,bugün seni göremeyeceğim için çok endişelendim kuzum,korku
1060,"Çok yoruldum, hüzün uyutmuyor. ",üzgün
1061,Sabah 05:30 da kabus görürken depremle uyanınca ne olduğumu anlamadım yok böyle korku (ama deprem gerçekti),korku
1062,Kimler kimlerle canlı yayın yapıyor şaştım kaldım,surpriz
1063,Rüyalarımda yaşamak vardı o kadar güzeller ki ,mutlu
1064,Aklıma korku filmlerindeki ranza sahneleri geldi sanki biri arkamda beni izliyormuş gibi ürktüm.,korku
1065,"Dün neydi öyle ya, cavs kaybedecek diye ödüm koptu.",korku
1066,Özledim diyorsun mektubunda. Sadece kuru bir özledim mi yazdı yanık yüreğin. ,üzgün
1067,Vize haftasına girdim şu an dağa taşa havadaki oksijene her şeye sinirliyim,kızgın
1068,Aşırı yıprandım tükendim yıldım bıktım,üzgün
1069,Bazı insanlara kuş beyinli dediğim zaman kuşlara hakaret ettiğimi düşünüyorum. ,kızgın
1070,Kitap okumayı özledim..,üzgün
1071,Fatih Tekke'ye muazzam sürpriz oldu ,surpriz
1072,"Olacağı varsa oluyor ya hani, biteceği varsa da bitsin, yoruldum.'",üzgün
1073,Okulu bitirmeye bir gram umudum kalmadı.,üzgün
1074,İçimdeki kini üzerinize kusmak istiyorum ya çok aşırı sinirliyim,kızgın
1075,Film eğlenceli dediler ama ben sadece iki kere güldüm. :D,mutlu
1076,Bende hata yaptım pişman mıyım evet pişmanım,üzgün
1077,Artık pantolon almaya korkuyorum rengi giderse diye,korku
1078,"Böyle dekolte görmemiştim, ben şok!",surpriz
1079,Beklemekten yoruldum artık nefesim tükeniyor...,üzgün
1080,Hayvanları tahmin edemeyeceğiniz kadar çok seviyorum. Haddinden fazla. Çok çok fazla. ,mutlu
1081,Haftaya çarşamba kıbrısa gidiyorum çok sevinçliyim,mutlu
1082,Beni sana unutturan herşeye o kadar öfkeliyim ki,kızgın
1083,Ankara'da metro sabaha kadar değilmiş 1 kadarmış çok sevindim.,mutlu
1084,"Biraz da sen gayret et bizim için, inan ben çok yoruldum.",üzgün
1085,Hesaplamalarıma göre düzenli sporu bıraktığımdan beri mutsuzum,üzgün
1086,Herşey tamı tamına bir saniye sürdü. Önce şiddetli bir sarsıntı hemen arkasından ürkütücü bir patlama sesi. Sağa sola koşuşturan insanlar... ,korku
1087,Şu insanların kapılarının önünden geçerken eve girecekmiş gibi geçmeyin kapıyı bir açtım korktum ,korku
1088,Bu gece birilerine salça olmazsam kafayı yiyeceğim habersiz gidenler sinirimi bozuyor,kızgın
1089,Bir bakireden beklenmeyen sürpriz kaltaklık,surpriz
1090,Doğum günün kutlu olsun nice senelere :)),mutlu
1091,Cem Korkmaz intihar etmesi neredeyse imkansız bir adam hayret ettim.,surpriz
1092,"Evet , 10 senelik misafir yarım günde geldi. Şaştım kaldım sonra ben şok",surpriz
1093,Bütün işyerlerinin üniforması olsun hergün ne giycem diye düşünmekten bezdim,üzgün
1094,Sabah sabah Çok Güldüm Ellerine sağlık emeği geçenlerin ,mutlu
1095,Artık gerçekten çok sıkıldım ya bana biriniz yardım etsin of,üzgün
1096,Sinir oluyorum kendime. Yine kötü olan herşeyi unuttum. ,kızgın
1097,Biri habeş maymunu diye sövmüş aşırı güldüm,mutlu
1098,"Bana fotoğraf atmış. Soğursun belki yazmış. Gerizekalı, bir insanın tipi yüzünden değil yaptığı hareketler yüzünden soğurum.",kızgın
1099,Artık kısa cevaplar ve terslemelerden çok sıkıldım sürekli aynı replikler boğuyor ,üzgün
1100,İşlerden nasıl bunaldım belli değil,üzgün
1101,Seni bu kadar kolay silmem açıkcası bana da sürpriz oldu .,surpriz
1102,Nazlı şu an sana ağır küfürler etmek istiyorum,kızgın
1103,Kokoreç yerken bile canım yanıyor çok mutsuzum,üzgün
1104,Bugün de eşimle gittim iyi ki gitmişim hem eğlendim hem güldüm ,mutlu
1105,"Kendinizi olduğunuzdan fazla göstermeyin zira epey komik duruyor. ""Seneye de giyersin"" pantolonları gibisiniz.",mutlu
1106,Zorla gezmeye götürülüyorum ağlayacağım,üzgün
1107,Hayret bu cuma akrabalar wp cuma mesajları ile kutsamadılar şaşırdım,surpriz
1108,"Günlerden bir gün dar, derin, karanlık Evka sokaklarında dolaşırken bir ıslık duydum. Biraz irkildim çünkü gecenin bu saatinden sonra",korku
1109,çok sinirliyim ama size değil belki de bir köpeğe bile olabilir,kızgın
1110,Her şey çok güzel geldi bu hafta bence Haftaya da iyi izlenecek.,mutlu
1111,Ben ne ara bu kadar agresif oldum ya utanmasam uykumda küfredeceğim,kızgın
1112,Hala aramamış olman da çok sinir bozucu,kızgın
1113,Betül Demir mal mısın klibine gerçek hayattan uyarlanmıştır yazıyorsun,kızgın
1114,Anlaşılmıyor yazdıklarım anlaşılmıyor kafayı yiyeceğim,kızgın
1115,"ABD, hala yasal olan bireysel silahlanma ve yine facia bu kez Texas'ta bir kilise, onlarca ölü, toplum olarak ödenen bedel.",korku
1116,Acı çeken birisinin intihar etmesi rüyada korkunç bir kabus gören kişinin aniden uyanmasına benzer,korku
1117,Ne olacak bu takımın hali vallahi bıktım ya tükendim,üzgün
1118,Ve nezakete nezaketle karşılık verilmesine alışık değiliz ya..bulduğumda epey sevindim,mutlu
1119,Evde on tane çocuk var kafayı yiyeceğim kafalarını duvara falan vuruyolar,kızgın
1120,Şaşkınlık verici; insanların hiç şaşırtmaması,surpriz
1121,"Bunun gerçek olabilme ihtimali korkunç, eğer gerçekse çok daha korkunç ",korku
1122,"Nasıl unuttum ama seni, ben bile hayret ettim.",surpriz
1123,Hayat bugün eğlenceli şimdi çarşı zamanı kardeşimin tweettere atmak istediği tweetmiş ,mutlu
1124,"Telefonumu düşürüp, ekranını çatlattım. Mutsuzum...",üzgün
1125,Geçen sene şu zamanlar uğruna öleceğim insanlar şuan hayatımda yok gayet mutluyum teşekkür ederim,mutlu
1126,Şu an gerçekten tam bir sinir küpüyüm,kızgın
1127,Ya yine muazzam bir çizim yaptım harikayım,mutlu
1128,bilgilerin en fazla 10 puan eksik olduğu sınav kağıdımdan nasıl 67 alabiliyorum amk bıktım senden ,üzgün
1129,Gerçekten benzemesi feci tadımı kaçırdı ama güldüm ,mutlu
1130,Ya yine gördüm resmini bir kötü oldum,üzgün
1131,"Ürkütücü bir sesti, yakınlarımda bir patlama sanki, Allah'ım sen esirge",korku
1132,Şehitlerimiz var. Çok üzgünüm. Allah makamına erdirsin. Milletimizin başı sağolsun.,üzgün
1133,Can Manay eski sevgilisinin gözüne kezzap mı dökmüş kafayı yiyeceğim,kızgın
1134,"Beyin bedava iken, gerizekalı olmak ciddi bir yetenek işidir... ",kızgın
1135,Son görülme saatin endişe verici rakamlara ulaştı.,korku
1136,"Sevenler Ölüme bile birlikte yürürler, çünkü ölüm bile ayrılıktan daha korkunç değildir.",korku
1137,Quaresma falan penaltı attı bu takımda Talisca atmadı ona ben de hayret ettim.,surpriz
1138,Yanlışlıkla birini takip ettim hemen geri aldım çok korkunçtu,korku
1139,Geceleri uyayabilmeyi gündüzleri ise doğru düzgü uyanabilmeyi özledim.,üzgün
1140,Allah belanı versin tudor cehennemde yan. nerden geldin başımıza kardeşim,kızgın
1141,Bu sitede çok komik insanlar var çok eğleniyorum :D ,mutlu
1142,Neler oldu ben şok ben iptal,surpriz
1143,"Empati kurayım dedim, kendime aşık oldum.",mutlu
1144,Götümün kenarındaki triplere bak. Sanki atomu parçaladı gerizekalı,kızgın
1145,Her şeyi yıktıktan sonra hiçbir şey yapmamış gibi davranan insanlardan nefret ediyorum.,kızgın
1146,Of Kütahyada çok bunaldım Ankaraya gideyim de biraz deniz havası alayım,üzgün
1147,mesajıma cevap vermeyip tweet atan insanlara sinir oluyorum delireceğim bir gün,kızgın
1148,"timeline bildiğin boş sokak gibi, bakınca endişelendim adeta.",korku
1149,Ne çok gerizekalı insan var bu sitede hepsi o kötü atlara binip defolup gitse keşke,kızgın
1150,Benle alakası olamayan her şeye sinirleniyorum benle alakası olanlara zaten sinirleniyordum. Galiba menapoz,kızgın
1151,Canım benim sürpriz yapmak istedi ama Nuranın yalanını bilmiyor ki ,surpriz
1152,Hayatımın ilk travması çok küçükken evde tek başıma korku filmi izlememdi,korku
1153,hava soğuk diye çamaşırları evin içine astık. ödüm koptu pelerinli bir şey geziyor evde sandım bornozmuş,korku
1154,Hayat bilgisi izleyip ağlıyorum. Psikolojimin farkında mısınız?,üzgün
1155,dün pantene altın kelebekte en güzel kadınlar arasında bence aybüke vardı çok beğendim ben açıkçası,mutlu
1156,ilkokulda tahtaya ismim yazıldığında çok korkardım ,korku
1157,Lütfen defol git şu şehirden burası senin pisliğine göre fazla temiz ,kızgın
1158,Çok mutsuzum diye ağlamak istiyorum,üzgün
1159,Türkiyede diziler neden 2 saat ya vallahi bezdim artık izlemiyorum alın dizinizi başınıza çalın,üzgün
1160,Kavisli kaş fobim var kaşları ağrı dağı gibi olan insanlara bakamıyorum,korku
1161,Belki bizim kaderimiz mutsuz olmaktı ,üzgün
1162,Fizik çözüyor oluşum da epey şaşırtıcı,surpriz
1163,Oğlum bir çikolata kutusu keşfettim içinde tüm markalar var hangisini yiyeceğimi şaşırdım,surpriz
1164,Banyo yapıp dots ost dinleyeceğim çok özledim,üzgün
1165,l ve ll dediğim soru yanlız lll çıktı üzgünüm,üzgün
1166,Yok böyle bir gol vallahi dondum kaldım,surpriz
1167,Prison Break 6. Sezon çıkıyormuş muazzam sevinçliyim şu an,mutlu
1168,"Ne yani, böylesine korkunç bir dünyanın birde cehennemi mi var?",korku
1169,Twit atarken az samimi olun yapmacık şeyler okumaktan sıkıldım artık,üzgün
1170,"İlginiz için teşekkür eder, en kısa zamanda sonuca ulaşmasını temenni ederim. ",mutlu
1171,İçimde öldürdüğüm kişiyi karşımda görmek ürkütücü açıkçası ,korku
1172,Seni seviyorum zeynep sana burdan aşkımı itiraf ediyorum,mutlu
1173,Artık be diyebilirim ki kelimelerimden de önce tükendim.,üzgün
1174,Uludağ’a aşık oldum. Bence o da bana karşı boş değil,mutlu
1175,Tüm haftasonunu gece gündüz yatarak geçirdim pazarteside aynı eyleme devam etmek mutluluk verici ,mutlu
1176,Dünya sulak alanlar günü kutlu olsun,mutlu
1177,Öfkeliyim sana tüm yaptıklarına ve yapamadıklarına bu defa tamam diyorum bitti ama ben neden senin blanık fotoğrafını bile silemiyorum,kızgın
1178,nasıl yağmur yağıyor vallahi ama acayip gök gürlüyor korkuyorum ,korku
1179,Kubilay Tüfekçi; 'Podyum bizim için sürpriz oldu',surpriz
1180,Gelecek kaygısı bir defol git artık bu saatte bile sıkboğaz ediyosun insanı,kızgın
1181,İmPARAtor Fatih Terim ilk 2 yıl derbi istatistiği o zamanda derbi kazanamıyor diye yollamamışlar hayret ,surpriz
1182,evet genelde öfkeliyim çünkü çok ayıp ettiler bana,kızgın
1183,Saçma sapan hatalar yapıyoruz ya şimdiye fark en az 10 sayıydı !,kızgın
1184,galiba şu koskoca tatilde bir bu akşam eğlendim,mutlu
1185,Balkona maket hırsız yapmışlar adam kendini asmış sandım ödüm koptu niye bunu yaptınız,korku
1186,Denzel Washingtonin JohnQ filmi muhteşem hayatımızın değerini bilmeli ve her an öleceğimizi bilmek ve halimize şükretmemiz lazım ,mutlu
1187,"Üzgünüm be baba ,inan bende istemezdim böyle olsun ,",üzgün
1188,Çok kötü bir kabus gördüm çok korktum,korku
1189,"Kitap, kahve, polar üçlüsünü seviyorum",mutlu
1190,Karşımdakine ne kadar değer verirsem o kadar sinirleniyorum yaptığı yanlışlara,kızgın
1191,"Yabancı gazete ve televizyonların manşet haberlerine bakınca biz bu ülkede nasıl yaşıyoruz , hayret ettim gerçekten ... . !",surpriz
1192,Yine çok sinirli ve agresifim keşke ağzımdan ateş çıksa da rahatlasam,kızgın
1193,Bu aralar agresifim kompleksliyim ama perdelerimi kaldırdığımda kedi gibi bir insanım,kızgın
1194,Bu son gecem yarın gidiyorum iki sene oldu halbuki neden bu kadar üzgünüm anlayamıyorum,üzgün
1195,İspanya attı haha adamsınız adam,mutlu
1196,"Yine güzel bir çay içemedim, agresifim",kızgın
1197,"Hepinize sevgiler, saygılar, teşekkür ederim",mutlu
1198,bu seneki eğlencem yaz dizilerindeki genç oyuncularla yaşlarımızın yakın olduğunu görüp ne para kazanıyolar ha bu yaşta diye düşünmek ,mutlu
1199,Altın gibi değerlenmiş sonradan şaşırtıcı :)),surpriz
1200,"Oyunun en eğlenceli kısmına geldik, sonu değiştiriyorum :) artık ben gülücem",mutlu
1201,Eray lütfen artık defol git ya bıktık senden tarıkdan defol yaa defol,kızgın
1202,Kübraya bir kızın fondotensiz halini attım oha bu bildiğin badana yapıyormuş şu an şoktayım diyor ,surpriz
1203,Onca çektiğim sıkıntıdan sonra . Hiç kimsenin acısı açıkcası umrumda değil .,üzgün
1204,"Bir tren camından dünyayı gördüm, haline üzüldüm.",üzgün
1205,Ben de tozları üflerken bir irkildim,korku
1206,Evde muzik son ses ve ben harika hissediyorum :D,mutlu
1207,lise sıralarında tuğçeyle 500mb internetinden fi izlemeyi özledim be,üzgün
1208,Mecidiyeköy'de kendimi şımarttım resmen harika hissediyorum :),mutlu
1209,birşey söyleyeceğim diyip 10 saat sonra yazanlara sinir oluyorum,kızgın
1210,"sen terkettin, sen çağırdın. sen kırdın, sen sitem ettin ama hala ben kötüyüm.",üzgün
1211,beni aramandan mı korkuyorum yoksa hiç aramayacağından mı,korku
1212,Bir toplumun kötüde ve kötülükte birleşmesi ürkütücü.,korku
1213,Ben niye bu kadar agresif oldum ya kimseye katlanamıyorum,kızgın
1214,Bazı hisleri tek taraflı yaşadığım için kırgınım.,üzgün
1215,Müezzinden 1 saat önce uyandığım şu hayata kırgın ve kızgınım,kızgın
1216,Akşam gittiğim bir mekanda tam 12 tane kıza aşık oldum..,mutlu
1217,Neden bu kadar güldüm bilmiyorum ama komik,mutlu
1218,Sema bana görüldü yapmış bende ona engel atarak minik bir sürpriz yaptım,surpriz
1219,Benim bu çocuklara olan aşkım ne olcak yahu,mutlu
1220,Git gide tahammülsüz bir insan oluyorum sürekli sinirliyim galiba ruh hastası oluyorum yavaştan,kızgın
1221,"kendimi üzgün hissediyorum, sanki tüm dünya’ya kırgınım.",üzgün
1222,Allah uyuz versin de tırnak vermesin nasıl bir bedduadır ya şaştım kaldım,surpriz
1223,"İlk baklava kim götürür diyorduk, doktorlar sürpriz oldu tabi... ",surpriz
1224,Ben şok olmuştum gidemez diye ağlamıştım ya inanmıyorum,surpriz
1225,Köylü müsünüz nesiniz ya sinirlendim,kızgın
